Time - Plot 0	Amplitude - Plot 0	
9:41:57.785 AM 9/4/2026	-0.000125985	
9:41:57.873 AM 9/4/2026	3.84788E-5	
9:41:57.946 AM 9/4/2026	0.000202942	
9:41:58.025 AM 9/4/2026	-0.000125985	
9:41:58.105 AM 9/4/2026	3.84788E-5	
9:41:58.194 AM 9/4/2026	-0.000125985	
9:41:58.263 AM 9/4/2026	3.84788E-5	
9:41:58.342 AM 9/4/2026	-0.000125985	
9:41:58.433 AM 9/4/2026	-0.000125985	
9:41:58.508 AM 9/4/2026	-0.000290448	
9:41:58.593 AM 9/4/2026	-0.000125985	
9:41:58.656 AM 9/4/2026	-0.000290448	
9:41:58.740 AM 9/4/2026	-0.000290448	
9:41:58.822 AM 9/4/2026	0.000202942	
9:41:58.906 AM 9/4/2026	-0.000125985	
9:41:58.985 AM 9/4/2026	-0.000454912	
9:41:59.064 AM 9/4/2026	-0.000290448	
9:41:59.143 AM 9/4/2026	-0.000290448	
9:41:59.219 AM 9/4/2026	0.000202942	
9:41:59.301 AM 9/4/2026	-0.000290448	
9:41:59.382 AM 9/4/2026	-0.000125985	
9:41:59.461 AM 9/4/2026	-0.000290448	
9:41:59.541 AM 9/4/2026	-0.000125985	
9:41:59.628 AM 9/4/2026	3.84788E-5	
9:41:59.705 AM 9/4/2026	-0.000125985	
9:41:59.786 AM 9/4/2026	-0.000290448	
9:41:59.874 AM 9/4/2026	0.000202942	
9:41:59.944 AM 9/4/2026	-0.000290448	
9:42:00.028 AM 9/4/2026	-0.000290448	
9:42:00.106 AM 9/4/2026	-0.000125985	
9:42:00.185 AM 9/4/2026	3.84788E-5	
9:42:00.263 AM 9/4/2026	-0.000125985	
9:42:00.343 AM 9/4/2026	-0.000125985	
9:42:00.428 AM 9/4/2026	3.84788E-5	
9:42:00.506 AM 9/4/2026	-0.000290448	
9:42:00.597 AM 9/4/2026	3.84788E-5	
9:42:00.672 AM 9/4/2026	3.84788E-5	
9:42:00.750 AM 9/4/2026	-0.000125985	
9:42:00.827 AM 9/4/2026	3.84788E-5	
9:42:00.907 AM 9/4/2026	-0.000125985	
9:42:00.995 AM 9/4/2026	3.84788E-5	
9:42:01.067 AM 9/4/2026	-0.000454912	
9:42:01.152 AM 9/4/2026	3.84788E-5	
9:42:01.228 AM 9/4/2026	-0.000125985	
9:42:01.313 AM 9/4/2026	0.000202942	
9:42:01.385 AM 9/4/2026	-0.000290448	
9:42:01.466 AM 9/4/2026	-0.000125985	
9:42:01.545 AM 9/4/2026	-0.000290448	
9:42:01.624 AM 9/4/2026	-0.000125985	
9:42:01.703 AM 9/4/2026	3.84788E-5	
9:42:01.788 AM 9/4/2026	-0.000125985	
9:42:01.864 AM 9/4/2026	0.000202942	
9:42:01.944 AM 9/4/2026	-0.000290448	
9:42:02.030 AM 9/4/2026	-0.000290448	
9:42:02.100 AM 9/4/2026	-0.000290448	
9:42:02.188 AM 9/4/2026	-0.000454912	
9:42:02.272 AM 9/4/2026	-0.000125985	
9:42:02.346 AM 9/4/2026	0.000202942	
9:42:02.423 AM 9/4/2026	-0.000290448	
9:42:02.502 AM 9/4/2026	-0.000290448	
9:42:02.584 AM 9/4/2026	-0.000125985	
9:42:02.666 AM 9/4/2026	-0.000290448	
9:42:02.748 AM 9/4/2026	-0.000290448	

